Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12
4,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,
3,tropical fruit,yogurt,coffee,,,,,,,,,
1,whole milk,,,,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,
5,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,
1,rolls/buns,,,,,,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
1,potted plants,,,,,,,,,,,
2,whole milk,cereals,,,,,,,,,,
5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,
9,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,
1,beef,,,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,
2,chicken,tropical fruit,,,,,,,,,,
4,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,
1,packaged fruit/vegetables,,,,,,,,,,,
1,chocolate,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,
2,butter milk,pastry,,,,,,,,,,
1,whole milk,,,,,,,,,,,
5,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
4,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,
3,tropical fruit,yogurt,coffee,,,,,,,,,
1,whole milk,,,,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,
5,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,
1,rolls/buns,,,,,,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
1,potted plants,,,,,,,,,,,
2,whole milk,cereals,,,,,,,,,,
5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,
9,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,
1,beef,,,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,
2,chicken,tropical fruit,,,,,,,,,,
4,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,
1,packaged fruit/vegetables,,,,,,,,,,,
1,chocolate,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,
2,butter milk,pastry,,,,,,,,,,
1,whole milk,,,,,,,,,,,
5,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
4,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,
3,tropical fruit,yogurt,coffee,,,,,,,,,
1,whole milk,,,,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,
5,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,
1,rolls/buns,,,,,,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
1,potted plants,,,,,,,,,,,
2,whole milk,cereals,,,,,,,,,,
5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,
9,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,
1,beef,,,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,
2,chicken,tropical fruit,,,,,,,,,,
4,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,
1,packaged fruit/vegetables,,,,,,,,,,,
1,chocolate,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,
2,butter milk,pastry,,,,,,,,,,
1,whole milk,,,,,,,,,,,
5,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
4,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,
3,tropical fruit,yogurt,coffee,,,,,,,,,
1,whole milk,,,,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,
5,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,
1,rolls/buns,,,,,,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
1,potted plants,,,,,,,,,,,
2,whole milk,cereals,,,,,,,,,,
5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,
9,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,
1,beef,,,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,
2,chicken,tropical fruit,,,,,,,,,,
4,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,
1,packaged fruit/vegetables,,,,,,,,,,,
1,chocolate,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,
2,butter milk,pastry,,,,,,,,,,
1,whole milk,,,,,,,,,,,
5,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
4,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,
3,tropical fruit,yogurt,coffee,,,,,,,,,
1,whole milk,,,,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,
5,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,
1,rolls/buns,,,,,,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
1,potted plants,,,,,,,,,,,
2,whole milk,cereals,,,,,,,,,,
5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,
9,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,
1,beef,,,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,
2,chicken,tropical fruit,,,,,,,,,,
4,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,
1,packaged fruit/vegetables,,,,,,,,,,,
1,chocolate,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,
2,butter milk,pastry,,,,,,,,,,
1,whole milk,,,,,,,,,,,
5,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
4,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,
3,tropical fruit,yogurt,coffee,,,,,,,,,
1,whole milk,,,,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,
5,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,
1,rolls/buns,,,,,,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
1,potted plants,,,,,,,,,,,
2,whole milk,cereals,,,,,,,,,,
5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,
9,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,
1,beef,,,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,
2,chicken,tropical fruit,,,,,,,,,,
4,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,
1,packaged fruit/vegetables,,,,,,,,,,,
1,chocolate,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,
2,butter milk,pastry,,,,,,,,,,
1,whole milk,,,,,,,,,,,
5,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
4,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,
3,tropical fruit,yogurt,coffee,,,,,,,,,
1,whole milk,,,,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,
5,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,
1,rolls/buns,,,,,,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
1,potted plants,,,,,,,,,,,
2,whole milk,cereals,,,,,,,,,,
5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,
9,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,
1,beef,,,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,
2,chicken,tropical fruit,,,,,,,,,,
4,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,
1,packaged fruit/vegetables,,,,,,,,,,,
1,chocolate,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,
2,butter milk,pastry,,,,,,,,,,
1,whole milk,,,,,,,,,,,
5,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
4,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,
3,tropical fruit,yogurt,coffee,,,,,,,,,
1,whole milk,,,,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,
5,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,
1,rolls/buns,,,,,,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
1,potted plants,,,,,,,,,,,
2,whole milk,cereals,,,,,,,,,,
5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,
9,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,
1,beef,,,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,
2,chicken,tropical fruit,,,,,,,,,,
4,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,
1,packaged fruit/vegetables,,,,,,,,,,,
1,chocolate,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,
2,butter milk,pastry,,,,,,,,,,
1,whole milk,,,,,,,,,,,
5,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
4,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,
3,tropical fruit,yogurt,coffee,,,,,,,,,
1,whole milk,,,,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,
5,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,
1,rolls/buns,,,,,,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
1,potted plants,,,,,,,,,,,
2,whole milk,cereals,,,,,,,,,,
5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,
9,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,
1,beef,,,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,
2,chicken,tropical fruit,,,,,,,,,,
4,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,
1,packaged fruit/vegetables,,,,,,,,,,,
1,chocolate,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,
2,butter milk,pastry,,,,,,,,,,
1,whole milk,,,,,,,,,,,
5,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
4,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,
3,tropical fruit,yogurt,coffee,,,,,,,,,
1,whole milk,,,,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,
5,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,
1,rolls/buns,,,,,,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
1,potted plants,,,,,,,,,,,
2,whole milk,cereals,,,,,,,,,,
5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,
9,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,
1,beef,,,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,
2,chicken,tropical fruit,,,,,,,,,,
4,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,
1,packaged fruit/vegetables,,,,,,,,,,,
1,chocolate,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,
2,butter milk,pastry,,,,,,,,,,
1,whole milk,,,,,,,,,,,
5,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
4,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,
3,tropical fruit,yogurt,coffee,,,,,,,,,
1,whole milk,,,,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,
5,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,
1,rolls/buns,,,,,,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
1,potted plants,,,,,,,,,,,
2,whole milk,cereals,,,,,,,,,,
5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,
9,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,
1,beef,,,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,
2,chicken,tropical fruit,,,,,,,,,,
4,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,
1,packaged fruit/vegetables,,,,,,,,,,,
1,chocolate,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,
2,butter milk,pastry,,,,,,,,,,
1,whole milk,,,,,,,,,,,
5,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
4,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,
3,tropical fruit,yogurt,coffee,,,,,,,,,
1,whole milk,,,,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,
5,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,
1,rolls/buns,,,,,,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
1,potted plants,,,,,,,,,,,
2,whole milk,cereals,,,,,,,,,,
5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,
9,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,
1,beef,,,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,
2,chicken,tropical fruit,,,,,,,,,,
4,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,
1,packaged fruit/vegetables,,,,,,,,,,,
1,chocolate,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,
2,butter milk,pastry,,,,,,,,,,
1,whole milk,,,,,,,,,,,
5,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
3,frankfurter,rolls/buns,soda,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,
